wl,tulle_16,tulle_12,tulle_8,tulle_6,tulle_4,tulle_3,tulle_2,tulle_1
274.89,12.721,17.995,33.005,44.863,60.532,68.115,72.904,88.72
275.16,12.978,17.623,33.341,44.618,60.866,69.148,73.273,88.131
275.42,13.201,18.331,33.987,44.714,60.692,70.083,73.818,88.395
275.69,13.324,17.949,34.288,44.507,60.279,69.934,74.278,88.488
275.96,13.006,17.62,33.998,43.963,60.193,70.122,74.472,87.831
276.23,12.672,17.288,32.847,43.185,60.628,70.695,74.401,86.884
276.49,12.667,17.654,32.431,42.767,60.348,69.914,74.086,85.672
276.76,12.487,18.076,32.735,41.773,60.385,69.594,73.501,85.012
277.03,12.347,18.219,32.824,41.157,60.278,69.267,73.274,84.193
277.3,13.187,18.164,32.365,41.547,60.543,69.468,72.965,84.262
277.56,13.577,17.669,31.188,41.31,60.726,69.273,73.32,84.555
277.83,13.625,17.254,30.612,40.588,60.486,69.09,74.52,84.739
278.1,13.941,17.334,30.304,40.867,61.008,69.423,75.166,85.4
278.37,14.281,16.978,29.553,40.281,60.788,69.277,75.384,85.137
278.63,13.878,17.073,29.206,39.52,60.89,69.52,76.065,85.491
278.9,13.418,16.908,29.185,38.741,60.605,68.969,75.758,85.088
279.17,13.459,16.582,29.344,38.314,60.788,68.159,75.396,83.883
279.44,13.145,16.409,29.494,38.042,60.257,67.901,75.072,83.301
279.7,13.224,17.013,29.08,38.022,60.045,67.144,74.176,82.782
279.97,13.379,16.725,28.108,37.603,60.742,66.455,74.082,82.069
280.24,12.745,16.429,27.585,37.701,60.185,66.147,73.718,81.732
280.51,12.755,16.544,27.868,38.13,59.914,65.684,73.354,81.857
280.77,12.643,16.994,28.728,38.517,60.425,64.945,72.856,82.854
281.04,13.134,17.079,29.545,39.223,61.312,65.368,72.983,83.777
281.31,12.984,16.777,29.425,40.182,61.115,65.391,73.378,83.524
281.57,12.481,16.683,29.737,40.401,61.58,65.835,74.147,84.159
281.84,12.355,17.388,29.681,39.971,61.517,66.014,73.665,84.118
282.11,13.109,18.714,30.261,39.801,62.153,66.602,73.375,84.168
282.38,13.116,19.48,30.261,39.523,62.429,67.226,72.492,84.249
282.64,12.966,19.534,30.711,38.975,62.26,67.065,71.845,83.945
282.91,12.733,19.211,31.183,39.087,61.919,66.837,71.888,83.957
283.18,12.7,18.853,31.411,39.142,60.998,65.992,71.16,83.522
283.45,12.09,18.281,31.02,38.724,61.245,66.155,71.126,83.767
283.71,11.572,18.331,30.79,39.127,61.44,66.738,71.612,84.533
283.98,11.211,18.14,30.385,39.106,61.62,66.961,71.905,84.885
284.25,10.291,17.513,30.015,38.393,61.439,66.532,71.714,84.827
284.51,9.847,17.564,30.028,38.003,60.491,65.887,71.017,84.275
284.78,9.836,17.911,30.336,37.89,60.754,66.08,70.689,84.312
285.05,9.777,18.098,29.997,37.983,60.933,66.424,70.441,84.362
285.32,9.768,17.832,30.143,37.846,60.719,66.912,70.163,83.633
