wl,floor_5,floor_4,floor_3,floor_2,floor_1
372.33,49.793,48.929,47.973,48.157,49.345
372.7,50.705,50.04,49.03,49.073,50.305
373.07,51.671,50.932,50.001,50.077,51.189
373.44,52.186,51.712,50.791,50.778,51.72
373.81,53.131,52.681,51.729,51.533,52.549
374.18,53.883,53.528,52.693,52.39,53.429
374.54,54.625,54.297,53.376,53.144,54.28
374.91,55.463,55.062,54.126,53.925,55.036
375.28,56.023,55.735,54.849,54.63,55.692
375.65,56.576,56.438,55.583,55.333,56.344
376.02,57.344,57.34,56.425,56.018,57.087
376.38,58.043,58.033,57.301,56.697,57.82
376.75,58.747,58.785,58.012,57.382,58.524
377.12,59.38,59.63,58.691,58.115,59.239
377.49,59.988,60.275,59.344,58.81,59.906
377.86,60.629,60.996,60.033,59.385,60.593
378.22,61.353,61.677,60.817,60.047,61.357
378.59,62.063,62.388,61.51,60.8,61.957
378.96,62.684,62.956,62.143,61.471,62.583
379.33,63.385,63.6,62.829,62.268,63.25
379.7,63.919,64.168,63.408,62.929,63.87
380.06,64.552,64.782,64.094,63.573,64.42
380.43,65.131,65.361,64.689,64.172,64.994
380.8,65.761,65.89,65.278,64.787,65.705
381.17,66.293,66.471,65.855,65.307,66.107
381.53,66.795,67.051,66.535,65.924,66.671
381.9,67.275,67.52,66.996,66.496,67.231
382.27,67.841,68.157,67.462,67.047,67.701
382.64,68.27,68.665,67.964,67.482,68.198
383,68.815,69.146,68.36,67.967,68.621
383.37,69.252,69.566,68.796,68.349,69.019
383.74,69.651,69.985,69.162,68.792,69.47
384.11,70.071,70.352,69.616,69.145,69.879
384.47,70.369,70.661,69.915,69.439,70.088
384.84,70.671,70.878,70.157,69.848,70.356
385.21,71.009,71.08,70.434,70.251,70.713
385.57,71.349,71.419,70.752,70.551,71.08
385.94,71.631,71.651,71.03,70.904,71.391
386.31,71.847,71.828,71.271,71.142,71.615
386.68,72.107,72.032,71.464,71.402,71.789
387.04,72.286,72.26,71.723,71.616,71.962
387.41,72.534,72.471,71.875,71.856,72.132
387.78,72.786,72.659,72.136,72.049,72.331
388.14,72.945,72.776,72.304,72.216,72.509
388.51,73.171,73.021,72.499,72.461,72.741
388.88,73.459,73.219,72.725,72.675,72.924
389.24,73.623,73.44,72.925,72.858,73.163
389.61,73.845,73.696,73.138,73.046,73.423
389.98,74.029,73.836,73.269,73.252,73.519
390.34,74.268,74.104,73.449,73.469,73.724
390.71,74.506,74.335,73.672,73.679,73.966
391.08,74.754,74.607,73.923,73.9,74.191
391.44,74.957,74.85,74.118,74.156,74.369
391.81,75.137,75.141,74.355,74.392,74.583
392.17,75.422,75.395,74.629,74.67,74.869
392.54,75.712,75.693,74.883,74.906,75.165
