wl,grey,white
453.48,4.45E+00,5.63E+00
453.84,4.51E+00,5.71E+00
454.2,4.57E+00,5.78E+00
454.56,4.62E+00,5.86E+00
454.91,4.68E+00,5.93E+00
455.27,4.73E+00,5.99E+00
455.63,4.76E+00,6.04E+00
455.99,4.79E+00,6.07E+00
456.35,4.80E+00,6.09E+00
456.71,4.82E+00,6.10E+00
457.07,4.83E+00,6.12E+00
457.43,4.82E+00,6.11E+00
457.78,4.81E+00,6.11E+00
458.14,4.81E+00,6.10E+00
458.5,4.79E+00,6.07E+00
458.86,4.75E+00,6.02E+00
459.22,4.72E+00,5.97E+00
459.58,4.68E+00,5.93E+00
459.94,4.63E+00,5.87E+00
460.29,4.58E+00,5.81E+00
460.65,4.52E+00,5.73E+00
461.01,4.45E+00,5.65E+00
461.37,4.38E+00,5.57E+00
461.73,4.30E+00,5.47E+00
462.08,4.21E+00,5.35E+00
462.44,4.14E+00,5.25E+00
462.8,4.06E+00,5.15E+00
463.16,3.97E+00,5.04E+00
463.52,3.89E+00,4.93E+00
463.87,3.80E+00,4.81E+00
464.23,3.70E+00,4.70E+00
464.59,3.61E+00,4.58E+00
464.95,3.52E+00,4.46E+00
465.31,3.42E+00,4.35E+00
465.66,3.32E+00,4.23E+00
