wl,ir
545.169,-0.03
545.516,-0.03
545.864,-0.02
546.211,-0.02
546.559,-0.02
546.906,-0.02
547.254,-0.03
547.601,-0.03
547.948,-0.03
548.296,-0.02
548.643,-0.02
548.99,-0.02
549.337,-0.03
549.684,-0.02
550.031,-0.02
550.378,-0.02
550.725,-0.02
551.072,-0.02
551.419,-0.02
551.766,-0.02
552.112,-0.02
552.459,-0.02
552.806,-0.02
553.152,-0.02
553.499,-0.02
553.845,-0.02
554.192,-0.02
554.538,-0.02
554.885,-0.02
555.231,-0.01
555.577,-0.01
555.924,-0.01
556.27,-0.01
556.616,-0.01
556.962,-0.01
557.308,-0.01
557.654,-0.01
558,-0.01
558.346,-0.02
558.692,-0.01
559.038,-0.01
559.384,-0.01
559.73,-0.02
560.075,-0.01
560.421,-0.01
560.766,-0.01
561.112,-0.01
561.458,-0.01
561.803,-0.01
562.149,-0.01
562.494,-0.02
562.839,-0.02
563.185,-0.01
563.53,-0.01
563.875,-0.01
564.22,-0.01
564.565,-0.01
564.91,-0.01
565.255,-0.01
565.6,-0.01
565.945,-0.01
566.29,-0.01
566.635,-0.02
566.98,-0.02
567.325,-0.02
567.669,-0.02
568.014,-0.02
568.358,-0.02
568.703,-0.02
569.048,-0.02
569.392,-0.02
569.736,-0.02
570.081,-0.02
570.425,-0.02
570.769,-0.02
571.114,-0.02
571.458,-0.02
571.802,-0.02
572.146,-0.01
572.49,-0.02
572.834,-0.02
573.178,-0.02
573.522,-0.02
573.866,-0.02
574.21,-0.01
574.554,-0.01
574.897,-0.01
575.241,-0.01
575.585,-0.01
575.928,-0.01
576.272,-0.01
576.615,-0.01
576.959,-0.01
577.302,-0.01
577.645,-0.01
577.989,-0.02
578.332,-0.01
578.675,-0.01
579.018,-0.01
579.362,-0.01
579.705,-0.02
580.048,-0.02
580.391,-0.02
580.734,-0.02
581.077,-0.02
581.419,-0.02
581.762,-0.02
582.105,-0.02
582.448,-0.02
582.79,-0.02
583.133,-0.02
583.475,-0.02
583.818,-0.02
584.16,-0.01
584.503,-0.01
584.845,-0.01
585.188,-0.01
585.53,-0.01
585.872,-0.01
586.214,-0.01
